IL County,Website,Roster Link,PDF,Notes,
Adams County,http://www.co.adams.il.us/jail/index.htm,http://www.co.adams.il.us/jail/inmates/dailypop.pdf,TRUE,PDF- No Bail info- Updates at 5AM,
Alexander County,,,,,
Bond County,,,,,
Boone County,,,,,
Brown County,,https://www.brownso.org/agency-data/jail-roster/,FALSE,text based listing w bond,
Bureau County,,,,,
Calhoun County,,,,,
Carroll County,,https://www.facebook.com/pg/carrollcosheriff/posts/?ref=page_internal,FALSE,monthly posts of inmates & bonds. ON FB,
Cass County,,,,,
Champaign County,,,,Inmate name required: http://www.co.champaign.il.us/sheriff/inmatelookup.php,
Christian County,,,,,
Clark County,,,,,
Clay County,,,,,
Clinton County,,,,,
Coles County,https://www.co.coles.il.us/Sheriff/index.html,https://www.co.coles.il.us/Sheriff/inmates.html,TRUE,PDF updated at 4AM,
Cook County,,,,,
Crawford County,http://www.crawfordcountycentral.com/,http://101douglas2016.wixsite.com/crawfordcounty/jail-roster,TRUE,PDF updates weekly,IT IS A WIX SITE WTF
Cumberland County,http://www.cumberlandso.org/,http://www.cumberlandso.org/235/Confined-Inmate-List,FALSE,Roster w/ no bond info- updates at 6pm,
DeKalb County,https://www.dekalbcountysheriff.org/,https://www.dekalbcountysheriff.org/roster.php,FALSE,Bond Amounts listed,
DeWitt County,,,,,
Douglas County,http://www.douglascountyil.com/sheriffoffice.html,http://www.douglascountyil.com/images/popsheet.txt,FALSE,http://www.douglascountyil.com/images/popsheet.pdf,There are 2 listings. 1st not updated since 10/18 has bond.
DuPage County,https://www.dupagesheriff.org/Corrections-Jail/164/,https://search.dupagesheriff.org/inmate/list,FALSE,Has captcha / each person has to be clicked for bond info,
Edgar County,,,,,
Edwards County,http://www.ecsheriff.org/,https://whitecountyjail.com/active.php,FALSE,uses White County Jail Roster,
Effingham County,,,,,
Fayette County,,,,,
Ford County,,,,,
Franklin County,,http://franklincountyil.gov/sites/default/files/downloads/MX-M363U_20200121_150618.pdf,TRUE,no bond posted updated daily,
Fulton County,,,,,
Gallatin County,,,,,
Greene County,,,,,
Grundy County,,,,,
Hamilton County,,,,,
Hancock County,,,,,
Hardin County,,,,,
Henderson County,,,,,
Henry County,,,,,
Iroquois County,,,,,
Jackson County,,,,,
Jasper County,,http://www.jaspercountysheriff.net/jasper-jail-report/4529642319,FALSE,Updates only when there are new intakes,
Jefferson County,,,,,
Jersey County,,,,,
Jo Daviess County,,,,,
Johnson County,,,,,
Kane County,,http://kanesheriff.com/Pages/Detainee-Search.aspx,FALSE,,
Kankakee County,,https://k3cosheriff.com/NewWorld.InmateInquiry/IL0460000,FALSE,,
Kendall County,,http://inmate.co.kendall.il.us/NewWorld.InmateInquiry/kendall/,FALSE,,
Knox County,,,,,
Lake County,,https://apps03.lakecountyil.gov/inmatesearchmobile/default.aspx,FALSE,select dates to show anyone currently in custody- names not required,
LaSalle County,https://lasallecounty.org/lasalle-county-jail-2/,http://inmatesearch.lasallecounty.org/,FALSE,Select One letter at a time to search alphabetically. Each person opens to show all their booking info including bond,
Lawrence County,,,,,
Lee County,https://www.leecountyil.com/index.php?option=com_content&view=article&id=37&Itemid=159,https://www.leecountyil.com/pdf/Sheriffs_Department/jail%20list.pdf,TRUE,PDF w / bond updated weekly?,
Livingston County,,,,,
Logan County,,,,uses ViINElink,
Macon County,,http://50.77.170.147/NewWorld.InmateInquiry/IL0580000?Name=&SubjectNumber=&BookingNumber=&BookingFromDate=&BookingToDate=&Facility=,FALSE,Can be search w/o name and sorted by booking date. Each person must be selected - bond is shown,
Macoupin County,,,,,
Madison County,,,,,
Marion County,,,,,
Marshall County,,,,,
Mason County,,,,,
Massac County,,http://massacsheriffsdept.com/index.html,FALSE,,
McDonough County,,,,,
McHenry County,http://www.mchenrysheriff.org/,http://www.mchenrysheriff.org/media/1549/inmatesearch_byname.pdf,TRUE,PDF is sorted by bond amount,
McLean County,,,,,
Menard County,,,,,
Mercer County,http://mercercosheriff.org/index.html,,,its just a really bad website and I wanted someone to see it,
Monroe County,,https://monroecoilsheriff.org/current-inmates/,FALSE,Under construction,
Montgomery County,,,,,
Morgan County,,,,,
Moultrie County,https://www.moultriesheriff.com/Moultrie_County_Detention_Center/Moultrie_County_Detention_Center_and_Sheriffs_Office.html,http://newsprogress.com/jail-report/,FALSE,Text based updated weekly and posted on a local news page,
Ogle County,,https://twitter.com/OgleCoSheriff,FALSE,The sheriff's department uses their twitter,
Peoria County,,,,,
Perry County,,,,,
Piatt County,,,,,
Pike County,,https://www.pikecountysd.org/news/arrests/,FALSE,,
Pope County,,,,,
Pulaski County,,https://www.pulaskicountyil.net/pulaski-county-detention-center.html,FALSE,Downloadable Excel Doc w/ bond,
Putnam County,,,,,
Randolph County,,https://am.randolphco.org/index.php/gov-menu/electedofficials/2015-12-04-01-54-52/current-inmate-listing-2,FALSE,text updates weekly,
Richland County,http://www.richlandcso.com/default.htm,http://www.richlandcso.com/aaa%20DETAINEES%20IN%20CUSTODY.htm,FALSE,text uodates daily,
Rock Island County,,,,,
Saline County,,,,uses VINElink,
Sangamon County,,https://www.sangamoncounty-sheriff.com/resources/994c3fa6-c810-4057-8620-316fd9d415c7/printingreport.pdf?trackid=printingreport.pdf,TRUE,huge pdf,
Schuyler County,http://schuylersheriffredshaw.us/,http://schuylersheriffredshaw.us/?Pg=ShowBookings,FALSE,TEXT GRAB,
Scott County,,,,,
Shelby County,,,,,
St. Clair County,,http://www.sheriff.co.st-clair.il.us/corrections/imnage/Pages/default.aspx,FALSE,Search by entering 1 letter- displays all currently in custody - clicks open to show bond amount,
Stark County,,,,,
Stephenson County,http://www.co.stephenson.il.us/sheriff/jailmail.asp,http://xjail.stephensoncountyjail.org/ArchonixXJailPublic/,FALSE,Select One letter at a time to search alphabetically. Each person opens to show all their booking info including bond,
Tazewell County,,,,,
Union County,,,,,
Vermilion County,,https://www.vermilionsheriff.org/corrections.htm,FALSE,Once hosted a roster- website currently under construction,
Wabash County,,https://wabashcountysheriff.com/jail/inmate-roster,FALSE,Small roster - no bond info,
Warren County,,,,,
Washington County,,,,,
Wayne County,,https://www.wfiwradio.com/wayne-county-mug-shots/,FALSE,only info public is a mugshot gallery hosted on a radiostation website,
White County,,https://whitecountyjail.com/active.php,FALSE,Must disable ad blocker- roster no bond listed,
Whiteside County,,,,,
Will County,https://www.willcosheriff.org/,http://66.158.72.230/NewWorld.InmateInquiry/Public,FALSE,Can be sorted by booking date. Each person opens to show all their booking info including bond,
Williamson County,,,,uses VINElink,
Winnebago County,http://winnebagosheriff.com/,http://inmates.winnebagosheriff.com/,FALSE,Select One letter at a time to search alphabetically. Each person opens to show all their booking info including bond,
Woodford County,https://www.woodford-county.org/215/Corrections,http://inmates.bluhorse.com/default.aspx?ID=WCCF#,FALSE,Each person has to be clicked into- there is a 2nd tab with bond info,
